Time[s],xPosition2[px],yPosition2[px]
74.5286945,0,0
74.5705881,0,0
74.6124817,0,0
74.6543753,0,0
74.6962688,0,0
74.7381624,0,0
74.780056,0,0
74.8219496,0,0
74.8638432,0,0
74.9057368,0,0
74.9476304,0,0
74.989524,0,0
75.0314176,0,0
75.0733111,0,0
75.1152047,0,0
75.1570983,0,0
75.1989919,0,0
75.2408855,0,0
75.2827791,0,0
75.3246727,0,0
75.3665663,0,0
75.4084599,0,0
75.4503534,0,0
75.492247,0,0
75.5341406,0,0
75.5760342,0,0
75.6179278,0,0
75.6598214,0,0
75.701715,0,0
75.7436086,0,0
75.7855022,0,0
75.8273957,0,0
75.8692893,0,0
75.9111829,0,0
75.9530765,0,0
75.9949701,0,0
76.0368637,0,0
76.0787573,0,0
76.1206509,0,0
76.1625445,0,0
76.204438,0,0
76.2463316,0,0
76.2882252,0,0
76.3301188,0,0
76.3720124,0,0
76.413906,0,0
76.4557996,0,0
76.4976932,0,0
76.5395868,0,0
76.5814803,0,0
76.6233739,0,0
76.6652675,0,0
76.7071611,0,0
76.7490547,0,0
76.7909483,0,0
76.8328419,0,0
76.8747355,0,0
76.9166291,0,0
76.9585226,0,0
77.0004162,0,0
77.0423098,0,0
77.0842034,0,0
77.126097,0,0
77.1679906,0,0
77.2098842,0,0
77.2517778,0,0
77.2936714,0,0
77.3355649,0,0
77.3774585,0,0
77.4193521,0,0
77.4612457,0,0
77.5031393,0,0
77.5450329,0,0
77.5869265,0,0
77.6288201,0,0
77.6707136,0,0
77.7126072,0,0
77.7545008,0,0
77.7963944,0,0
77.838288,0,0
77.8801816,0,0
77.9220752,0,0
77.9639688,0,0
78.0058624,0,0
78.0477559,0,0
78.0896495,0,0
78.1315431,0,0
78.1734367,0,0
78.2153303,0,0
78.2572239,0,0
78.2991175,0,0
78.3410111,0,0
78.3829047,0,0
78.4247982,0,0
78.4666918,0,0
78.5085854,0,0
78.550479,0,0
78.5923726,0,0
78.6342662,0,0
78.6761598,0,0
78.7180534,0,0
78.759947,0,0
78.8018405,0,0
78.8437341,0,0
78.8856277,0,0
78.9275213,0,0
78.9694149,0,0
79.0113085,0,0
79.0532021,0,0
79.0950957,0,0
79.1369893,0,0
79.1788828,0,0
79.2207764,0,0
79.26267,0,0
79.3045636,0,0
79.3464572,0,0
79.3883508,0,0
79.4302444,0,0
79.472138,0,0
79.5140316,0,0
79.5559251,0,0
79.5978187,0,0
79.6397123,0,0
79.6816059,0,0
79.7234995,0,0
79.7653931,0,0
79.8072867,0,0
79.8491803,0,0
79.8910739,0,0
79.9329674,0,0
79.974861,0,0
80.0167546,0,0
80.0586482,0,0
80.1005418,0,0
80.1424354,0,0
80.184329,0,0
80.2262226,0,0
80.2681162,0,0
80.3100097,0,0
80.3519033,0,0
80.3937969,0,0
80.4356905,0,0
80.4775841,0,0
80.5194777,0,0
80.5613713,0,0
80.6032649,0,0
80.6451585,0,0
80.687052,0,0
80.7289456,0,0
80.7708392,0,0
80.8127328,0,0
80.8546264,0,0
80.89652,0,0
80.9384136,0,0
80.9803072,0,0
81.0222008,0,0
81.0640943,0,0
81.1059879,0,0
81.1478815,0,0
81.1897751,0,0
81.2316687,0,0
81.2735623,0,0
81.3154559,0,0
81.3573495,0,0
81.3992431,0,0
81.4411366,0,0
81.4830302,0,0
81.5249238,0,0
81.5668174,0,0
81.608711,0,0
81.6506046,0,0
81.6924982,0,0
81.7343918,0,0
81.7762854,0,0
81.8181789,0,0
81.8600725,0,0
81.9019661,0,0
81.9438597,0,0
81.9857533,0,0
82.0276469,0,0
82.0695405,0,0
82.1114341,0,0
82.1533277,0,0
82.1952212,0,0
82.2371148,0,0
82.2790084,0,0
82.320902,0,0
82.3627956,0,0
82.4046892,0,0
